ID,Name,COL,ROW,LON_UTM,LAT_UTM,LON,LAT,DT,idx
1,Shallap_GS,24,41,240794.881,8949505.424,-77.3609179282463,-9.49531180708821,0,2479
2,Transect_0,41,51,241657.997228323,8949994.01130417,-77.35303078,-9.490940357,0,4291
3,Snow_stake_2,53,54,242249.160899498,8950163.36491798,-77.34763904,-9.489446031,0,5566
4,Transect_6,57,58,242453.208981097,8950336.58836715,-77.34577096,-9.487893032,0,5994
5,Transect_3,53,54,242240.28687415,8950160.42971149,-77.34772,-9.489472015,0,5566
6,Sha_T1_f,45,50,241859.004083851,8949940.01087711,-77.35120436,-9.491440672,0,4714
7,Sha_T1_i,45,49,241836.997777624,8949929.01014498,-77.35140536,-9.491538741,0,4713
8,Sha_T2_f,47,51,241958.00029559,8949986.00741135,-77.35030037,-9.491031049,0,4927
9,Sha_T2_i,48,51,241990.003196875,8949992.0115183,-77.35000868,-9.490978746,0,5033
10,Sha_T3_f,53,54,242252.997946664,8950172.00723355,-77.34760358,-9.489368163,0,5566
11,Sha_T3_i,53,54,242242.004262924,8950142.01216866,-77.3477055,-9.489638563,0,5566
12,Sha_T4_f,55,57,242340.003701985,8950322.0042441,-77.34680235,-9.488017922,0,5781
13,Sha_T4_i,54,57,242318.001380148,8950298.00985236,-77.34700411,-9.488233421,0,5675
14,Sha_T5_f,56,57,242384.004975217,8950283.00374097,-77.34640421,-9.488373064,0,5887
15,Sha_T5_i,56,56,242395.00386886,8950255.00300908,-77.34630581,-9.488626784,0,5886
16,Sha_T6_f,57,58,242439.001694747,8950331.01098461,-77.34590063,-9.487942569,0,5994
17,Sha_T6_i,57,58,242448.997353439,8950359.00511099,-77.34580792,-9.48769019,0,5994
18,SMN,57,51,242457.99992674,8949987.00777576,-77.34574884,-9.49105256,0,5987
19,SG,74,55,243311.000516754,8950197.00760324,-77.33797112,-9.48920672,0,7793
20,SMO,77,49,243426.999961625,8949887.00754165,-77.33693417,-9.49201533,0,8105
21,Cluster_1,8,68,239994.881,8950855.424,-77.3681165008988,-9.483062513322,0,810
22,Cluster_2,11,67,240144.881,8950805.424,-77.3667542094316,-9.4835236009981,0,1127
23,Cluster_3,11,59,240144.881,8950405.424,-77.3667790097756,-9.48713843365778,0,1119
24,Cluster_4,18,61,240494.881,8950505.424,-77.3635868623144,-9.48625625713117,0,1863
25,Cluster_5,19,70,240544.881,8950955.424,-77.3631038723978,-9.48219263294422,0,1978
26,Cluster_6,24,52,240794.881,8950055.424,-77.3608838848659,-9.49034139316305,0,2490
27,Cluster_7,26,46,240894.881,8949755.424,-77.3599921601671,-9.49305867215818,0,2696
28,Cluster_8,27,53,240944.881,8950105.424,-77.3595153659493,-9.48989874917007,0,2809
29,Cluster_9,28,54,240994.881,8950155.424,-77.3590571325846,-9.48944996212478,0,2916
30,Cluster_10,28,52,240994.881,8950055.424,-77.3590633155264,-9.49035367510224,0,2914
31,Cluster_11,29,65,241044.881,8950705.424,-77.3585680024259,-9.48448260691957,0,3033
32,Cluster_12,29,56,241044.881,8950255.424,-77.358595809919,-9.48854931750951,0,3024
33,Cluster_13,30,57,241094.881,8950305.424,-77.3581375796834,-9.48810052850116,0,3131
34,Cluster_14,30,56,241094.881,8950255.424,-77.3581406694256,-9.48855238533152,0,3130
35,Cluster_15,30,46,241094.881,8949755.424,-77.3581715753105,-9.49307095294023,0,3120
36,Cluster_16,31,48,241144.881,8949855.424,-77.3577102474939,-9.49217030794019,0,3228
37,Cluster_17,32,58,241194.881,8950355.424,-77.3572242110266,-9.48765480493531,0,3344
38,Cluster_18,32,57,241194.881,8950305.424,-77.3572272994249,-9.48810666207562,0,3343
39,Cluster_19,33,58,241244.881,8950355.424,-77.3567690712616,-9.48765787068784,0,3450
40,Cluster_20,33,39,241244.881,8949405.424,-77.3568277658245,-9.49624315701635,0,3431
41,Cluster_21,34,81,241294.881,8951505.424,-77.3562429679883,-9.47726821130179,0,3579
