ID,Lat,Long,Elevation,Name,Instruments,Notes,x,y,col,row,idx,lon,lat
1,-9.495166,-77.360962,NaN,Shallap_GS,"Water level",Taken from google maps at the cross section below the dam,240789.930127173,8949520.53214284,24,41,2479,-9.495166,-77.360962
2,-9.490940357,-77.35303078,NaN,Transect_0,"Tinytag Ts (Shallap_1_trans0), HOBO soil moisture",,241657.997228323,8949994.01130417,42,50,4396,-9.490940357,-77.35303078
3,-9.489446031,-77.34763904,4431.182617,Snow_stake_2,"Snow_stake 2 at transect 3, with Hobo TitBit Ta (Shallap_2), camera (Shallap_2), Tinytag Ts (Shall 3)",,242249.160899498,8950163.36491798,54,54,5672,-9.489446031,-77.34763904
4,-9.487893032,-77.34577096,NaN,Transect_6,"Tinytag Ts (Shallap3_trans6)",,242453.208981097,8950336.58836715,58,57,6099,-9.487893032,-77.34577096
5,-9.489472015,-77.34772,NaN,Transect_3,"Tinytag Ts (Shallap2_trans3)",,242240.28687415,8950160.42971149,53,54,5566,-9.489472015,-77.34772
6,-9.493316039,-77.36134596,4200.76123,Lake_camera,"Lake trail camera (SHA1)",,240746.360069247,8949724.94286346,24,45,2483,-9.493316039,-77.36134596
7,-9.491440672,-77.35120436,NaN,Sha_T1_f,"Transect1_end",,241859.004083851,8949940.01087711,46,49,4819,-9.491440672,-77.35120436
8,-9.491538741,-77.35140536,NaN,Sha_T1_i,"Transect1_start",,241836.997777624,8949929.01014498,45,49,4713,-9.491538741,-77.35140536
9,-9.491031049,-77.35030037,NaN,Sha_T2_f,"Transect2_end",,241958.00029559,8949986.00741135,48,50,5032,-9.491031049,-77.35030037
10,-9.490978746,-77.35000868,NaN,Sha_T2_i,"Transect2_start",,241990.003196875,8949992.0115183,48,50,5032,-9.490978746,-77.35000868
11,-9.489368163,-77.34760358,NaN,Sha_T3_f,"Transect3_end",,242252.997946664,8950172.00723355,54,54,5672,-9.489368163,-77.34760358
12,-9.489638563,-77.3477055,NaN,Sha_T3_i,"Transect3_start",,242242.004262924,8950142.01216866,53,53,5565,-9.489638563,-77.3477055
13,-9.488017922,-77.34680235,NaN,Sha_T4_f,"Transect4_end",,242340.003701985,8950322.0042441,55,57,5781,-9.488017922,-77.34680235
14,-9.488233421,-77.34700411,NaN,Sha_T4_i,"Transect4_start",,242318.001380148,8950298.00985236,55,56,5780,-9.488233421,-77.34700411
15,-9.488373064,-77.34640421,NaN,Sha_T5_f,"Transect5_end",,242384.004975217,8950283.00374097,56,56,5886,-9.488373064,-77.34640421
16,-9.488626784,-77.34630581,NaN,Sha_T5_i,"Transect5_start",,242395.00386886,8950255.00300908,57,55,5991,-9.488626784,-77.34630581
17,-9.487942569,-77.34590063,NaN,Sha_T6_f,"Transect6_end",,242439.001694747,8950331.01098461,57,57,5993,-9.487942569,-77.34590063
18,-9.48769019,-77.34580792,NaN,Sha_T6_i,"Transect6_start",,242448.997353439,8950359.00511099,58,58,6100,-9.48769019,-77.34580792
19,-9.49105256,-77.34574884,4767,SMN,"Shallap Moraine New",,242457.99992674,8949987.00777576,58,50,6092,-9.49105256,-77.34574884
20,-9.48920672,-77.33797112,4790,SG,"Shallap Glacier",,243311.000516754,8950197.00760324,75,54,7898,-9.48920672,-77.33797112
21,-9.49201533,-77.33693417,4945,SMO,"Shallap Moraine Old",,243426.999961625,8949887.00754165,77,48,8104,-9.49201533,-77.33693417
